Northland
Cairnfield House,09 437 0186,cairnfieldhouse@xtra.co.nz
Seaview Home,03 573 6027,seaview10@vodafone.co.nz
Springlands Lifestyle Village,03 577 5208,nfo@slv.net.nz
Stillwater Lifecare & Village,03 543 8070,nager.stillwater@hll.org.nz
Stoke Retirement Village,03 547 9703 03 547 9702,stoke@oceaniahealthcare.co.nz
Tasman Rest Home & Dementia Care,03 547 6867,@tasmanrh.co.nz
The Wood Lifecare 2007 Ltd,03 545 6059,nager@thewood.co.nz
Ultimate Care Kensington Court,03 547 9444,kensington@ultimatecare.co.nz
Waterlea Lifecare,03 577 6556,nager.waterlea@hll.org.nz
Whareama,03 547 7786,whareama@oceaniahealthcare.co.nz
Woodlands,03 528 8330,woodlands@oceaniahealthcare.co.nz
West Coast
Dixon House,03 768 5347,dixonhouse.greymouth@gmail.com
Granger House Lifecare,03 768 0880,nager.granger@hll.org.nz
O'Conor Memorial Home,03 788 8210,conorhome@xtra.co.nz
Ultimate Care Allen Bryant,03 755 8353,enbryant@ultimatecare.co.nz
Canterbury
Addington,03 339 4245,ddington@oceaniahealthcare.co.nz
Admatha Dementia Care Ltd,03 385 1286,son@admatha.co.nz
Adriel Rest Home Ltd,03 314 8326,driel@xtra.co.nz
Albarosa Rest Home,03 375 0725,barosa@goldenhealthcare.co.nz
Alpine View,03 383 2295,jeremy@alpineview.co.nz
Amberley Resthome 2013 Ltd,03 314 9250,berleynz@xtra.co.nz
Anthony Wilding Retirement Village,03 338 5820,enquiries@anthonywildingrv.co.nz
Archer Care,03 943 6262,graeme@archervillage.org.nz
Avonlea Dementia Care Ltd,03 338 0202,vonlea.rh@xtra.co.nz
Bainlea House,03 313 6055,bainleahouse@xtra.co.nz
Bainswood House Rest Home Ltd,03 313 5905,bainswood@paradise.net.nz
Ballarat Rest Home,03 313 0951,rraine.murray@bupa.co.nz
Bethesda Rest Home and Hospital,03 359 6390,chris.mcculloch@bupa.co.nz
Bishopspark Complex,03 977 0896,nager.bp@anglicanliving.org.nz
Bloomfield Court Retirement Home,03 312 7088,gauravk@hotmail.co.nz
Brookhaven Retirement Village,03 375 0725,dsidaway@goldenhealthcare.co.nz
Burlington Village,03 383 1222,ry.v@burlingtonvillage.co.nz
Camellia Court Rest Home,03 375 0725,dsidaway@goldenhealthcare.co.nz
Cashmere View Rest Home & Hospital,03 332 3003,sandy.washington@bupa.co.nz
Cheviot Rest Home Limited,03 319 8727,sandsrhome@xtra.co.nz
Coldstream Lifecare & Village,03 308 8020,nager.coldstream@hll.org.nz
Cunliffe House Retirement Home Ltd,03 323 8702,cunliffehouse@gmail.com
Diana Isaac Retirement Village,03 386 3018,enquiries@dianaisaac.co.nz
Edith Cavell Lifecare,03 326 4908,nager.edithcavell@hll.org.nz
Elms Court Rest Home,03 332 1861,Elmscourtresthome@gmail.com
Essie Summers Retirement Village,03 337 3702,Beckenham@beckenhamcourts.co.nz
Fendalton Lifecare 2006 Ltd,03 351 5979,enquiries@fendaltonretirement.co.nz
Fitzgerald Complex,03 982 2165,nager.fitz@anglicanliving.org.nz
George Manning Lifecare & Paulger Courts Village,03 338 9164,nager.georgemanning@hll.org.nz
Golden Age Rest Home,03 375 0725,dsidaway@goldenhealthcare.co.nz
Holly Lea Village,03 351 2679,robyn@hollylea.co.nz
Holmwood,03 313 8399,holmwood@oceaniahealthcare.co.nz
Homestead Ilam Home & Hospital,03 982 0677,homestead@paradise.net.nz
Hoon Hay Dementia Care,03 379 7825,hhdementia@goldenhealthcare.co.nz
Ilam Senior Living Ltd,03 358 3666,beth@willstone.co.nz
Kaiapoi Lodge Residential Care Ltd,03 327 8485,kiapoilodge@xtra.co.nz
Kauri Lodge Rest Home,03 348 0274,hamish@kaurilodge.co.nz
Kowhai Rest Home (2002) Ltd,03 332 6630,kowhairesthome@xnet.co.nz
Maidstone Lifecare,03 358 9697,dmin.maidstone@hll.org.nz
Maples Lifecare,03 348 4362,plesvillage@xtra.co.nz
Margaret Stoddart Retirement Village,03 348 4955,nne.sheard@margaretstoddart.co.nz
Mayfair Lifecare 2008 Limited,03 348 2445,Louise.nash@arvida.co.nz
Merivale Retirement Village,03 375 4117,jennys@merivaleretirement.co.nz
Methven Aged Persons Welfare,03 302 8528,fficeadmin@methvenhouse.co.nz
Middlepark,03 343 4300,ddlepark@oceaniahealthcare.co.nz
Nazareth Community of Care Christchurch,03 379 3854,dmin.christchurch@nazarethcare.com
Ngaio Marsh Retirement Village,03 352 5140,enquiries@ngaiomarsh.co.nz
Nurse Maude Association,03 375 4200,nfo@nursemaude.org.nz
Pacific Haven Residential Care,03 388 7170,bickles@gmail.com
Palm Grove,03 375 7033,palmgrove@oceaniahealthcare.co.nz
Parklands Hospital,03 352 6169,ynda.fleury@bupa.co.nz
Park Lane Retirement Village Ltd,03 338 4495,retire@parklanderetirement.co.nz
Parkstone Care Home,03 341 5704,karry.durning@bupa.co.nz
Pompallier House,03 304 7396,pvt@xtra.co.nz
Princes Court Lifecare,03 308 0302,nager.princescourt@hll.org.nz
Radius St Helenas Care Centre,03 365 6700,Annette.McGinlay@rrcl.co.nz
Radius Hawthorne,03 351 9346,kate.ashdowne@rrcl.co.nz
Resthaven Lifecare,03 379 9033,nager.resthaven@hll.org.nz
Rosebank Residential Home Ltd,03 308 0111,sue@rosebankhosp.co.nz
Rosewood Rest Home and Hospitals,03 389 7661,rosewoodresthome@clear.net.nz
Somerfield House Rest Home,03 375 0725,dsidaway@goldenhealthcare.co.nz
St Allisa Lifecare,03 343 3388,pat@stallisa.co.nz
St Albans Retirement Village,03 366 1824,nager@stalbansretirement.co.nz
TerraceView Retirement Village,03 307 6140,nfo@terraceview.co.nz
The Oaks,03 348 2998,heoaks@oceaniahealthcare.co.nz
Thorrington Village,03 332 1480,ndrew@thorringtonvillage.org.nz
Ultimate Care Bishop Selwyn,03 377 4409,bishopselwyn@ultimatecare.co.nz
Ultimate Care Karadean Court,03 312 4891,karadean@ultimatecare.co.nz
Ultimate Care Rose Court,03 337 2221,bishopselwyn@ultimatecare.co.nz
Wendover Rest Home,03 352 6089,wendover.resthome@xtra.co.nz
WesleyCare Resthome and Hospital,03 366 6745,nfo@mmsi.org.nz
Wiltshire Home and Hospital,03 310 7040,
Windermere Retirement Village,03 375 7033,windermere@oceaniahealthcare.co.nz
Windsorcare,03 385 3179,gm@windsorhouse.co.nz
Woodcote Retirement Village,03 349 8788,
South Canterbury
Geraldine Retirement Village,03 693 7205,geraldinerh@xtra.co.nz
Glenwood Home,03 686 1090,nager@glenwood.org.nz
Highfield Lifecare,03 684 3152,nager.highfield@hll.org.nz
Lister Home,03 689 8935,jacqui@listerhome.co.nz
Margaret Wilson Complex,03 687 2684,jenny.purdon@pssc.co.nz
McKenzie Healthcare,03 693 8299,ckldgehsp@xtra.co.nz
Radius Elloughton Grange,03 684 4688,chael.fitzgerald@rrcl.co.nz
Strathallan Healthcare Ltd,03 686 1996,gm@strathlifecare.co.nz
The Croft Complex,03 687 1135,janice.hampton@pssc.co.nz
Tuarangi Home,,
Waihi Lodge,03 693 8131,waihilodge@actrix.co.nz
Wallingford Rest Home,03 615 9481,vivien.clemens@pssc.co.nz
Otago
Birchleigh Residential Care Centre,03 489 6602,ffice@birchleigh.com
Brooklands Village,03 489 3596,rh.brookvillage@xtra.co.nz
Clutha Views Lifecare & Village,03 418 3220,nager.cluthaviews@hll.org.nz
 ,,
Elmslie House,03 443 7899,elmslie-admin@psotago.org.nz
Frances Hodgkins Retirement Village,03 455 0277,joy.notman@franceshodgkins.co.nz
Glendale Retirement Home,03 453 5884,glendalerh@xtra.co.nz
Harbour View Rest Home 2005 Ltd,03 434 5001,harbourview@netspeed.net.nz
Homedene,03 418 1468,holmdene-admin@psotago.org.nz
Home of St Barnabas Trust,03 455 8298,nager@stbarnabasdun.org.nz
Iona,03 437 1870,na-admin@psotago.org.nz
Kimberley Rest Home,03 465 1515,kimberley@kimberley.nz
Lake Wakatipu Hospital & Home,03 442 3780,jane.ottrey-webster@bupa.co.nz
Lawrence Residential Health Care,03 485 9056,uapeka.health@xtra.co.nz
Leslie Groves Hospital & Rest Home,03 476 3045,grovesh@ihug.co.nz
Maniototo Health Services Ltd,03 444 9420,niototo.hospital@mhsl.co.nz
Marne Street Hospital,03 454 2680,rnestreet@xtra.co.nz
Montecillo Veterans Home & Hospital,03 466 4778,nurse.manager@montecillo.org.nz
Mossbrae Healthcare Ltd,03 489 7712,ssbrae@xtra.co.nz
Northanjer Rest Home,03 437 2180,belinda@northanjer.co.nz
Observatory Village Care Limited,03 434 5450,dmin@observatoryvillage.nz
Queen Rose Retirement Home,03 455 4680,queenrose@xtra.co.nz
Radius Fulton Care Centre,03 466 4202,robyn.bowie@rrcl.co.nz
Ranui,03 448 8280,ranui-admin@psotago.org.nz
Redroofs Lifecare,03 467 5113,nager.redroofs@hll.org.nz
Ross Home,03 473 0029,ross-admin@psotago.org.nz
Sacred Heart Home and Hospital (LSP),03 476 2228,s@lspdun.co.nz
St Andrews,03 455 4396,sta-admin@psotago.org.nz
St Clair Park Residential Centre,03 487 7717,nager@stclairpark.co.nz
Southanjer Rest Home,03 434 8841,belinda@southanjer.co.nz
Taieri Court,03 489 6044,na-admin@psotago.org.nz
Teviot Valley Rest Home,03 446 9014,eviotvrh@xtra.co.nz
Yvette Williams Retirement Village,03 477 6966,jane.griffin@yvettewilliams.co.nz
West Otago Health Ltd (Ribbonwood Rest Home),03 204 8668,wohealth@wohealth.co.nz
Whalan Lodge Rest Home,03 436 0578,whalanlodgetrust@xtra.co.nz
Southland
Albany House Rest Home ,03 208 0749,banyhouse2004@xtra.co.nz
Ascot Care Home,03 217 5714,za.adams@bupa.co.nz
Bainfield Park Residential Care Ltd,03 215 9155,dmin@bainfieldpark.com
Calvary Hospital Southland Ltd,03 216 8099,nager@calvaryhospinv.co.nz
Cargill Lifecare,03 215 8886,nager.cargill@hll.org.nz
Clare House Rest Home Ltd,03 215 6966,janine@clarehouse.co.nz
Glenbrae Rest Home,03 216 0222,glenbraeresthome@xtra.co.nz
Longwood Care Home,03 234 8099,diane.clark@bupa.co.nz
Maniototo Health Services (incorporating Chalet Rest Home),03 444 9420,geoff.foster@mhsl.co.nz
Peacehaven Village,03 211 8200,John.Boleyn@pss.org.nz
Rata Park Rest Home,,rata.park@xtra.co.nz
Rose Lodge Retirement Home & Village,03 218 4306,fiona@roselodge.co.nz
Vickery Court,211 8200,julia.russell@pss.org.nz
Waikiwi Gardens Resthome,03 215 7200,waikiwigardens@gmail.com
Walmsley House,2118 200,Jennifer.DeJesus@pss.org.nz
Windsor Park Care Home,03 208 6580,chelle.christensen@bupa.co.nz
Wyndham & Districts Community Rest Home,03 206 4901,wyndhamhome@xtra.co.nz
